,location,total_sqft,bath,price,bhk,encoded_loc
0,Electronic City Phase II,1056.0,2,39.07,2,80
1,Chikka Tirupathi,2600.0,5,120.0,4,61
2,Uttarahalli,1440.0,2,62.0,3,230
3,Lingadheeranahalli,1521.0,3,95.0,3,163
4,Kothanur,1200.0,2,51.0,2,155
5,Whitefield,1170.0,2,38.0,2,239
6,Old Airport Road,2732.0,4,204.0,4,188
7,Marathahalli,1310.0,3,63.25,3,170
8,Whitefield,1800.0,2,70.0,3,239
9,Whitefield,2785.0,5,295.0,4,239
10,7th Phase JP Nagar,1000.0,2,38.0,2,8
11,Gottigere,1100.0,2,40.0,2,88
12,Sarjapur,2250.0,3,148.0,3,207
13,Mysore Road,1175.0,2,73.5,2,176
14,Bisuvanahalli,1180.0,3,48.0,3,50
15,Raja Rajeshwari Nagar,1540.0,3,60.0,3,198
16,others,2770.0,4,290.0,3,245
17,others,1100.0,2,48.0,2,245
18,Kengeri,600.0,1,15.0,1,144
19,Binny Pete,1755.0,3,122.0,3,49
20,Bellandur,1767.0,3,103.0,3,44
21,others,510.0,1,25.25,1,245
22,others,1250.0,3,56.0,3,245
23,Electronic City,660.0,1,23.1,2,79
24,Whitefield,1610.0,3,81.0,3,239
25,Ramagondanahalli,1151.0,2,48.77,2,201
26,Electronic City,1025.0,2,47.0,3,79
27,Yelahanka,2475.0,4,186.0,4,241
28,Bisuvanahalli,1075.0,2,35.0,3,50
29,Hebbal,1760.0,2,123.0,3,99
30,Raja Rajeshwari Nagar,1693.0,3,57.39,3,198
31,Kasturi Nagar,1925.0,3,125.0,3,140
32,Kanakpura Road,700.0,2,36.0,2,136
33,Electronics City Phase 1,1070.0,2,45.5,2,81
34,Kundalahalli,1724.0,3,125.0,3,159
35,Chikkalasandra,1290.0,2,56.12,3,63
36,Uttarahalli,1143.0,2,45.0,2,230
37,Murugeshpalya,1296.0,2,81.0,2,175
38,Sarjapur  Road,1254.0,3,38.0,3,208
39,Ganga Nagar,600.0,1,38.0,1,84
40,Yelahanka,660.0,1,48.0,1,241
41,Kanakpura Road,1330.74,2,91.79,2,136
42,Doddathoguru,970.0,2,33.0,2,74
43,Whitefield,1459.0,2,94.82,2,239
44,others,869.0,2,36.0,2,245
45,others,1270.0,2,50.0,2,245
46,Bhoganhalli,1670.0,3,99.0,3,47
47,Whitefield,2010.0,3,91.0,3,239
48,Lakshminarayana Pura,1185.0,2,75.0,2,162
49,Yelahanka,1600.0,2,75.0,3,241
50,Begur Road,1200.0,2,44.0,2,43
51,Devanahalli,3210.0,2,192.0,4,70
52,others,840.0,2,45.0,2,245
53,others,4395.0,3,240.0,3,245
54,Ganga Nagar,845.0,2,55.0,2,84
55,Varthur,1160.0,2,44.0,2,231
56,Doddathoguru,1100.0,2,62.0,2,74
57,Gunjur,1140.0,2,43.0,2,91
58,Marathahalli,1220.0,2,57.0,2,170
59,Kanakpura Road,1005.0,2,36.68,2,136
60,Begur Road,1358.0,2,80.58,2,43
61,Hegde Nagar,1569.0,3,101.0,3,101
62,Haralur Road,1240.0,2,70.0,2,97
63,Hennur Road,2089.0,3,140.0,3,103
64,Kothannur,1206.0,2,48.23,2,154
65,Kalena Agrahara,1150.0,2,40.0,2,129
66,others,2511.0,3,205.0,3,245
67,ISRO Layout,4400.0,6,250.0,6,113
68,others,1660.0,2,105.0,3,245
69,Hennur Road,3203.5,2,224.5,4,103
70,Yelahanka,1326.0,2,78.0,2,241
71,Garudachar Palya,1325.0,2,60.8,3,85
72,Hegde Nagar,3000.0,7,210.0,6,101
73,Kanakpura Road,1665.0,3,88.0,3,136
74,Dasanapura,708.0,2,37.0,2,68
75,Kasavanhalli,1060.0,2,58.06,2,139
76,Sanjay nagar,1000.0,2,70.0,2,205
77,Electronic City,1000.0,2,28.88,2,79
78,others,1450.0,2,70.0,3,245
79,Thanisandra,1296.0,2,80.0,2,223
80,Domlur,1540.0,3,90.0,3,76
81,Kengeri,2894.0,4,245.0,4,144
82,Sarjapura - Attibele Road,1330.0,2,48.0,3,209
83,others,1200.0,2,65.0,2,245
84,others,1200.0,3,90.0,3,245
85,Yeshwanthpur,2502.0,3,138.0,3,244
86,Chandapura,650.0,1,17.0,2,59
87,Kothanur,2400.0,2,150.0,3,155
88,others,1007.0,2,43.0,2,245
89,others,1200.0,2,50.0,2,245
90,others,966.0,2,49.9,2,245
91,Nagarbhavi,1630.0,2,98.0,3,181
92,others,782.0,2,55.68,2,245
93,Devanahalli,1260.0,2,66.78,2,70
94,others,1800.0,3,120.0,3,245
95,others,1413.0,2,75.0,3,245
96,Whitefield,1116.0,2,51.91,2,239
97,Electronic City,1530.0,2,45.9,3,79
98,Ramamurthy Nagar,3700.0,4,225.0,4,202
99,Sarjapur  Road,2497.0,3,140.0,3,208
100,Kengeri,1540.0,2,64.0,3,144
101,Thanisandra,1436.0,3,74.75,3,223
102,Malleshwaram,1100.0,2,75.0,2,169
103,Thanisandra,1427.0,3,120.0,3,223
104,Akshaya Nagar,2061.0,3,200.0,3,13
105,Hebbal,5611.5,4,477.0,4,99
106,Shampura,2650.0,4,150.0,4,213
107,Devanahalli,1282.0,2,68.52,3,70
108,Kadugodi,1050.0,2,34.0,2,125
109,LB Shastri Nagar,1600.0,3,65.0,3,160
110,others,945.0,2,54.0,2,245
111,Hormavu,1500.0,2,78.0,2,107
112,others,1870.0,3,110.0,3,245
113,Sarjapur,1600.0,3,75.0,3,207
114,Electronic City,880.0,1,16.5,2,79
115,Kudlu Gate,1535.0,3,83.0,3,157
116,Kanakpura Road,950.0,2,57.0,2,136
117,Devanahalli,1360.0,2,65.0,2,70
118,8th Phase JP Nagar,1073.5,2,54.005,2,9
119,Bommasandra Industrial Area,1280.0,3,50.4,3,53
120,others,1260.0,2,85.05,3,245
121,Yelahanka,3050.0,5,213.0,5,241
122,Kasavanhalli,1563.05,3,105.0,3,139
123,ISRO Layout,1000.0,2,60.0,2,113
124,Anandapura,1167.0,2,43.76,2,17
125,Kothanur,1828.0,3,110.0,3,155
126,Kengeri Satellite Town,890.0,2,35.0,2,145
127,others,1612.0,3,46.74,3,245
128,Mysore Road,1710.0,4,91.31,3,176
129,Kannamangala,957.0,2,58.0,2,137
130, Devarachikkanahalli,1250.0,2,44.0,3,0
131,others,2795.0,4,235.0,3,245
132,Hulimavu,1125.0,2,50.0,2,112
133,Electronic City Phase II,1020.0,2,30.6,2,80
134,Kalena Agrahara,1200.0,2,50.0,2,129
135,Thanisandra,1735.0,3,135.0,3,223
136,Thanisandra,2050.0,3,145.0,3,223
137,others,1350.0,2,48.0,3,245
138,Hosa Road,1063.0,2,32.0,2,108
139,others,1904.0,3,150.0,3,245
140,Whitefield,4200.0,4,420.0,4,239
141,others,2000.0,3,175.0,3,245
142,Sarjapur,1242.5,2,43.49,2,207
143,others,1425.0,2,75.0,3,245
144,Electronic City,1500.0,2,64.5,3,79
145,Electronic City,1060.0,2,60.0,2,79
146,others,1470.0,2,70.0,3,245
147,Attibele,450.0,1,11.0,1,23
148,Electronic City,1152.0,2,64.5,2,79
149,Electronic City,1350.0,2,56.0,3,79
150,CV Raman Nagar,1550.0,3,65.0,3,57
151,others,1500.0,3,100.0,3,245
152,Nagavara,400.0,1,14.0,1,183
153,Malleshwaram,705.0,1,67.0,1,169
154,Electronic City,770.0,1,36.0,2,79
155,Hulimavu,1242.0,2,51.0,2,112
156,Hebbal Kempapura,1700.0,3,155.0,3,100
157,Thanisandra,2144.0,3,145.0,3,223
158,Vijayanagar,1704.0,3,110.0,3,235
159,Electronic City,1070.0,2,52.0,2,79
160,others,1340.0,2,55.7,2,245
161,Electronic City,1025.0,2,46.0,2,79
162,KR Puram,1277.5,2,56.8,2,123
163,Marathahalli,1200.0,2,52.0,2,170
164,Kanakpura Road,2250.0,4,110.0,4,136
165,Pattandur Agrahara,1550.0,2,80.0,3,193
166,Marathahalli,1200.0,2,60.0,2,170
167,Yelahanka,1327.0,2,98.0,2,241
168,Kothanur,1186.0,2,58.0,2,155
169,others,1783.0,3,115.0,3,245
170,HSR Layout,1400.0,3,56.0,3,96
171,Nagasandra,980.0,2,48.0,2,182
172,EPIP Zone,1285.0,2,82.0,2,78
173,others,912.0,2,70.0,3,245
174,Whitefield,1225.0,2,47.6,2,239
175,Whitefield,1075.0,2,53.0,2,239
176,Kadugodi,1260.0,2,54.0,3,125
177,Yelahanka,1282.0,2,48.7,3,241
178,Kogilu,1909.0,3,88.0,3,151
179,Panathur,1359.0,2,87.0,2,192
180,others,1207.0,2,43.5,2,245
181,Kammasandra,1595.0,3,65.0,3,134
182,others,1798.0,3,89.0,3,245
183,Electronics City Phase 1,1475.0,3,78.29,3,81
184,others,1580.0,3,100.0,3,245
185,Dasarahalli,1295.0,2,65.0,2,69
186,Magadi Road,3600.0,6,141.0,6,164
187,Electronic City,589.0,1,27.0,1,79
188,others,1415.0,3,78.0,3,245
189,Sarjapur  Road,1787.0,3,98.29,3,208
190,Sarjapur  Road,1787.0,3,125.0,3,208
191,Koramangala,1475.0,2,90.0,3,153
192,others,2000.0,4,75.5,4,245
193,Sarjapur  Road,984.0,2,44.28,2,208
194,Devanahalli,1630.0,2,74.82,3,70
195,others,2405.0,4,260.0,3,245
196,7th Phase JP Nagar,1080.0,2,72.0,2,8
197,others,1500.0,2,115.0,2,245
198,Hebbal,1900.0,3,119.0,3,99
199,Dommasandra,805.0,2,22.14,2,77
200,Budigere,1153.0,2,56.4,2,56
201,others,1148.0,2,60.0,2,245
202,others,1110.0,2,55.0,2,245
203,Electronic City,1100.0,2,42.0,2,79
204,Kalyan nagar,1290.0,2,110.0,2,131
205,others,1500.0,2,65.0,3,245
206,others,1080.0,2,39.0,2,245
